first,second
aber,schien
schien,meine
meine,zu
zu,überhören
überhören,es
es,waren
waren,zufällig
zufällig,ausgesprochene
ausgesprochene,worte
worte,durch
durch,die
die,mir
mir,nach
nach,und
und,nach
nach,alles
alles,klar
klar,wurde
wurde,als
als,er
er,das
das,erste
erste,mal
mal,mein
mein,flugzeug
flugzeug,sah
sah,ich
ich,zeichne
zeichne,mein
mein,flugzeug
flugzeug,hier
hier,nicht
nicht,denn
denn,das
das,ist
ist,viel
viel,zu
zu,schwierig
schwierig,für
für,mich
mich,da
da,fragte
fragte,er
er,mich
mich,was
was,ist
ist,dieses
dieses,ding
ding,das
das,ist
ist,kein
kein,ding
ding,es
es,fliegt
fliegt,das
das,ist
ist,ein
ein,flugzeug
flugzeug,das
das,ist
ist,mein
mein,flugzeug
flugzeug,ich
ich,war
war,stolz
stolz,ihm
ihm,mitzuteilen
mitzuteilen,dass
dass,ich
ich,fliegen
fliegen,konnte
konnte,aber
aber,er
er,rief
rief,wie
wie,du
du,bist
bist,vom
vom,himmel
himmel,gefallen
gefallen,ja
ja,erwiderte
erwiderte,ich
ich,bescheiden
bescheiden,ah
ah,das
das,ist
ist,lustig
lustig,und
und,der
der,kleine
kleine,prinz
prinz,brach
brach,in
in,ein
ein,herzliches
herzliches,lachen
lachen,aus
aus,das
das,mich
mich,sehr
sehr,verärgerte
verärgerte,ich
ich,wünsche
wünsche,dass
dass,man
man,ernst
ernst,nimmt
nimmt,was
was,mir
mir,an
an,unheil
unheil,zustößt
zustößt,dann
dann,fügte
fügte,er
er,hinzu
hinzu,also
also,kommst
kommst,du
du,auch
auch,aus
aus,dem
dem,himmel
himmel,von
von,welchem
welchem,planeten
planeten,stammst
stammst,du
du,plötzlich
plötzlich,wurde
wurde,mir
mir,klar
klar,was
was,es
es,mit
mit,seiner
seiner,anwesenheit
anwesenheit,auf
auf,sich
sich,haben
haben,könnte
könnte,und
und,ich
ich,fragte
fragte,schnell
schnell,du
du,stammst
stammst,also
also,von
von,einem
einem,anderen
anderen,planeten
planeten,aber
aber,er
er,antwortete
antwortete,mir
mir,nicht
nicht,er
er,nickte
nickte,nur
nur,sanft
sanft,während
während,er
er,mein
mein,flugzeug
flugzeug,betrachtete
betrachtete,auf
auf,diesem
diesem,ding
ding,kannst
kannst,du
du,nicht
nicht,von
von,sehr
sehr,weit
weit,her
her,kommen
kommen,und
und,er
