first,second
nur,wenn
wenn,sie
sie,gelobt
gelobt,werden
werden,verehrst
verehrst,du
du,mich
mich,wirklich
wirklich,fragte
fragte,er
er,den
den,kleinen
kleinen,prinzen
prinzen,was
was,bedeutet
bedeutet,verehren
verehren,verehren
verehren,bedeutet
bedeutet,zuzugeben
zuzugeben,dass
dass,ich
ich,der
der,schönste
schönste,am
am,besten
besten,gekleidete
gekleidete,reichste
reichste,und
und,intelligenteste
intelligenteste,mensch
mensch,auf
auf,dem
dem,planeten
planeten,bin
bin,aber
aber,du
du,bist
bist,ganz
ganz,allein
allein,auf
auf,deinem
deinem,planeten
planeten,tue
tue,mir
mir,den
den,gefallen
gefallen,verehre
verehre,mich
mich,trotzdem
trotzdem,ich
ich,verehre
verehre,dich
dich,sagte
sagte,der
der,kleine
kleine,prinz
prinz,und
und,zuckte
zuckte,dabei
dabei,mit
mit,den
den,schultern
schultern,aber
aber,warum
warum,interessiert
interessiert,dich
dich,das
das,bloß
bloß,und
und,der
der,kleine
kleine,prinz
prinz,brach
brach,wieder
wieder,auf
auf,die
die,erwachsenen
erwachsenen,sind
sind,doch
doch,wirklich
wirklich,ungewöhnlich
ungewöhnlich,sagte
sagte,er
er,sich
sich,auf
auf,seiner
seiner,reise
reise,auf
auf,dem
dem,nächsten
nächsten,planeten
planeten,wohnte
wohnte,ein
ein,säufer
säufer,es
es,war
war,ein
ein,sehr
sehr,kurzer
kurzer,besuch
besuch,doch
doch,tauchte
tauchte,er
er,den
den,kleinen
kleinen,prinzen
prinzen,in
in,eine
eine,große
große,traurigkeit
traurigkeit,was
was,machst
machst,du
du,da
da,fragte
fragte,er
er,den
den,säufer
säufer,der
der,schweigend
schweigend,vor
vor,einer
einer,ansammlung
ansammlung,leerer
leerer,und
und,voller
voller,flaschen
flaschen,saß
saß,ich
ich,saufe
saufe,antwortete
antwortete,finster
finster,der
der,säufer
säufer,warum
warum,säufst
säufst,du
du,fragte
fragte,ihn
ihn,der
der,kleine
kleine,prinz
prinz,um
um,zu
zu,vergessen
vergessen,sagte
sagte,der
der,säufer
säufer,um
um,was
was,zu
zu,vergessen
vergessen,erkundigte
erkundigte,sich
sich,der
der,kleine
kleine,prinz
prinz,und
und,bedauerte
bedauerte,ihn
ihn,schon
schon,um
um,zu
zu,vergessen
vergessen,dass
dass,ich
ich,mich
mich,schäme
schäme,gab
gab,der
der,säufer
säufer,zu
zu,und
und,senkte
senkte,den
den,kopf
kopf,für
für,was
was,schämst
schämst,du
du,dich
dich,fragte
fragte,der
der,kleine
kleine,prinz
prinz,der
der,den
den,wunsch
wunsch,hatte
hatte,ihm
ihm,zu
zu,helfen
helfen,fürs
fürs,saufen
saufen,gab
gab,der
der,säufer
säufer,zu
zu,und
und,vergrub
vergrub,sich
sich,endgültig
endgültig,in
in,schweigen
schweigen,und
und,ganz
ganz,perplex
perplex,machte
machte,sich
sich,der
der,kleine
kleine,prinz
prinz,wieder
wieder,auf
auf,und
und,davon
davon,die
die,erwachsenen
erwachsenen,sind
sind,doch
doch,wirklich
wirklich,wunderlich
wunderlich,sagte
sagte,er
er,sich
sich,auf
auf,seiner
seiner,reise
reise,der
der,vierte
vierte,planet
planet,gehörte
gehörte,einem
einem,geschäftsmann
geschäftsmann,der
der,mann
mann,war
war,so
so,beschäftigt
beschäftigt,dass
dass,er
er,bei
bei,der
der,ankunft
ankunft,des
des,kleinen
kleinen,prinzen
prinzen,nicht
nicht,einmal
einmal,den
den,kopf
kopf,hob
hob,guten
guten,tag
tag,sagte
sagte,dieser
dieser,zu
zu,ihm
ihm,ihre
ihre,zigarette
zigarette,ist
ist,ausgegangen
ausgegangen,drei
drei,und
und,zwei
zwei,macht
macht,fünf
fünf,fünf
fünf,und
und,sieben
sieben,zwölf
zwölf,zwölf
zwölf,und
und,drei
drei,ist
ist,fünfzehn
fünfzehn,fünfzehn
fünfzehn,und
und,sieben
sieben,ist
ist,zweiundzwanzig
zweiundzwanzig,keine
keine,zeit
zeit,um
um,sie
sie,wieder
wieder,anzuzünden
anzuzünden,uff
uff,das
das,macht
macht,also
also,fünfhunderteine
fünfhunderteine,million
million,sechshunderzweiundzwanzigtausendsiebenhunderteinunddreißig
sechshunderzweiundzwanzigtausendsiebenhunderteinunddreißig,fünfhundert
fünfhundert,millionen
millionen,wovon
wovon,wie
wie,du
du,bist
bist,noch
noch,hier
hier,fünfhunderteine
fünfhunderteine,millionen
millionen,von
von,ich
ich,weiß
weiß,es
es,nicht
nicht,mehr
mehr,ich
ich,habe
habe,so
so,viel
viel,arbeit
arbeit,ich
ich,bin
bin,mit
mit,ernst
ernst,bei
bei,der
der,sache
sache,für
für,quatsch
quatsch,hab
hab,ich
ich,keine
keine,zeit
zeit,zwei
zwei,und
und,fünf
fünf,ist
ist,sieben
sieben,fünfhundert
fünfhundert,millionen
millionen,wovon
wovon,wiederholte
wiederholte,der
der,kleine
kleine,prinz
prinz,der
der,niemals
niemals,von
von,einer
einer,frage
frage,abließ
abließ,wenn
wenn,er
er,sie
sie,einmal
einmal,gestellt
gestellt,hatte
hatte,der
der,geschäftsmann
geschäftsmann,hob
hob,den
den,kopf
kopf,in
in,den
den,vierundfünfzig
vierundfünfzig,jahren
jahren,seit
seit,ich
ich,auf
auf,diesem
diesem,planeten
planeten,lebe
lebe,wurde
wurde,ich
ich,nur
nur,drei
drei,mal
mal,gestört
gestört,das
das,erste
erste,mal
mal,vor
vor,zweiundzwanzig
zweiundzwanzig,jahren
jahren,als
als,ein
ein,maikäfer
maikäfer,von
von,weiß
weiß,gott
gott,wo
wo,herabgefallen
herabgefallen,ist
ist,er
er,machte
machte,einen
einen,furchtbaren
furchtbaren,lärm
lärm,und
und,ich
ich,habe
habe,mich
mich,beim
beim,addieren
addieren,gleich
gleich,viermal
viermal,verrechnet
verrechnet,das
das,zweite
zweite,mal
mal,war
war,vor
vor,elf
elf,jahren
jahren,bei
bei,plötzlichen
plötzlichen,gelenkschmerzen
gelenkschmerzen,ich
ich,mache
mache,zu
zu,wenig
wenig,sport
sport,ich
ich,habe
habe,keine
keine,zeit
zeit,zu
zu,vertrödeln
vertrödeln,ich
ich,bin
bin,mit
mit,ernst
ernst,bei
bei,der
der,sache
sache,das
das,dritte
dritte,mal
mal,ah
ah,da
da,haben
haben,wir
wir,s
s,ich
ich,war
war,bei
bei,fünfhunderteiner
fünfhunderteiner,million
million,millionen
millionen,wovon
wovon,der
der,geschäftsmann
geschäftsmann,verstand
verstand,dass
dass,er
er,nicht
nicht,darauf
darauf,hoffen
hoffen,konnte
konnte,in
in,ruhe
ruhe,gelassen
gelassen,zu
zu,werden
werden,millionen
millionen,dieser
dieser,kleinen
kleinen,dinger
dinger,die
die,man
man,manchmal
manchmal,am
am,himmel
himmel,sieht
sieht,fliegen
fliegen,aber
aber,nein
nein,diese
diese,kleinen
kleinen,leuchtenden
leuchtenden,dinger
dinger,bienen
bienen,aber
aber,nein
nein,kleine
kleine,goldene
goldene,dinger
dinger,die
die,faulpelze
faulpelze,zum
zum,träumen
träumen,bringen
bringen,aber
aber,ich
ich,bin
bin,mit
mit,ernst
ernst,bei
bei,der
der,sache
sache,ich
ich,habe
habe,keine
keine,zeit
zeit,zum
zum,träumen
träumen,ah
ah,die
die,sterne
sterne,ja
ja,genau
genau,so
so,ist
ist,es
es,die
die,sterne
sterne,und
und,was
was,machst
machst,du
du,mit
mit,fünfhundert
fünfhundert,millionen
millionen,sternen
sternen,fünfhunderteine
fünfhunderteine,million
million,sechshundertzweiundzwanzigtausendsiebenhunderteinunddreißig
sechshundertzweiundzwanzigtausendsiebenhunderteinunddreißig,ich
ich,bin
bin,mit
mit,ernst
ernst,bei
bei,der
der,sache
sache,ich
ich,bin
bin,exakt
exakt,und
und,was
was,machst
machst,du
du,mit
mit,diesen
diesen,sternen
sternen,was
was,ich
ich,damit
damit,mache
mache,ja
ja,nichts
nichts,ich
ich,besitze
besitze,sie
sie,du
du,besitzt
besitzt,die
die,sterne
sterne,ja
ja,aber
aber,ich
ich,habe
habe,schon
schon,einen
einen,könig
könig,getroffen
getroffen,der
der,könige
könige,besitzen
besitzen,nichts
nichts,sie
sie,regieren
regieren,über
über,das
das,ist
ist,etwas
etwas,ganz
ganz,anderes
anderes,und
und,was
was,bringt
bringt,es
es,dir
dir,sterne
sterne,zu
zu,besitzen
besitzen,dadurch
dadurch,bin
bin,ich
ich,reich
reich,und
und,was
was,bringt
bringt,es
es,dir
dir,reich
reich,zu
zu,sein
sein,so
so,kann
kann,ich
ich,andere
andere,sterne
sterne,kaufen
kaufen,wen
wen,jemand
jemand,welche
welche,findet
findet,dieser
dieser,typ
typ,sagte
sagte,sich
sich,der
der,kleine
kleine,prinz
prinz,er
er,denkt
denkt,ein
ein,bisschen
bisschen,so
so,wie
wie,mein
mein,säufer
säufer,dennoch
dennoch,stellte
stellte,er
er,weitere
weitere,fragen
fragen,wie
wie,kann
kann,man
man,denn
denn,sterne
sterne,besitzen
besitzen,wem
wem,gehören
gehören,sie
sie,denn
denn,gab
gab,der
der,geschäftsmann
geschäftsmann,mürrisch
mürrisch,zurück
zurück,ich
ich,weiß
weiß,nicht
nicht,niemandem
niemandem,na
na,dann
dann,gehören
gehören,sie
sie,mir
mir,denn
denn,ich
ich,habe
habe,als
als,erster
erster,daran
daran,gedacht
gedacht,das
das,reicht
reicht,aus
aus,sicher
sicher,wenn
wenn,du
du,einen
einen,diamanten
diamanten,findest
findest,der
der,niemandem
niemandem,gehört
gehört,so
so,gehört
gehört,er
er,dir
dir,wenn
wenn,du
du,eine
eine,insel
insel,findest
findest,die
die,niemandem
niemandem,gehört
gehört,so
so,gehört
gehört,sie
sie,dir
dir,wenn
wenn,du
du,als
als,erster
erster,eine
eine,idee
idee,hast
hast,lässt
lässt,du
du,sie
sie,patentieren
patentieren,sie
sie,gehört
gehört,dir
dir,und
und,mir
mir,gehören
gehören,die
die,sterne
sterne,denn
denn,niemand
niemand,vor
vor,mir
mir,hat
hat,sich
sich,darum
darum,geschert
geschert,sie
sie,zu
zu,besitzen
besitzen,das
das,stimmt
stimmt,wohl
wohl,sagte
sagte,der
der,kleine
kleine,prinz
prinz,und
und,was
was,machst
machst,du
du,mit
mit,ihnen
ihnen,ich
ich,verwalte
verwalte,sie
sie,ich
ich,zähle
zähle,sie
sie,und
und,dann
dann,zähle
zähle,ich
ich,sie
sie,wieder
wieder,sagte
sagte,der
der,geschäftsmann
geschäftsmann,das
das,ist
ist,schwierig
schwierig,aber
aber,ich
ich,bin
bin,ein
ein,ernstzunehmender
ernstzunehmender,mann
mann,der
der,kleine
kleine,prinz
prinz,war
war,nicht
nicht,zufrieden
zufrieden,ich
ich,besitze
besitze,einen
einen,schal
schal,den
den,kann
kann,ich
ich,mir
mir,um
um,den
den,hals
hals,binden
binden,und
und,mitnehmen
mitnehmen,wenn
wenn,mir
mir,eine
eine,blume
blume,gehört
gehört,kann
kann,ich
ich,sie
sie,pflücken
pflücken,und
und,mitnehmen
mitnehmen,aber
aber,du
du,kannst
kannst,die
die,sterne
sterne,ja
ja,nicht
nicht,pflücken
pflücken,nein
nein,aber
aber,ich
ich,kann
kann,sie
sie,auf
auf,die
die,bank
bank,bringen
bringen,was
was,soll
soll,das
das,heißen
heißen,das
das,bedeutet
bedeutet,ich
ich,schreibe
schreibe,die
die,anzahl
anzahl,der
der,sterne
sterne,auf
auf,einen
einen,kleinen
kleinen,zettel
zettel,und
und,diesen
diesen,zettel
zettel,verschließe
verschließe,ich
ich,dann
dann,in
in,einer
einer,schublade
schublade,das
das,ist
ist,alles
alles,das
das,reicht
reicht,schon
schon,das
das,ist
ist,witzig
witzig,dachte
dachte,der
der,kleine
kleine,prinz
prinz,es
es,klingt
klingt,fast
fast,poetisch
poetisch,aber
aber,wirklich
wirklich,ernst
ernst,gemeint
gemeint,ist
ist,es
es,nicht
nicht,von
von,ernsten
ernsten,dingen
dingen,hatte
hatte,der
der,kleine
kleine,prinz
prinz,eine
eine,ganz
ganz,andere
andere,vorstellung
vorstellung,als
als,die
die,erwachsenen
erwachsenen,ich
ich,sagte
sagte,er
er,noch
noch,ich
ich,besitze
besitze,eine
eine,blume
blume,die
die,ich
ich,jeden
jeden,tag
tag,gieße
gieße,ich
ich,besitze
besitze,drei
drei,vulkane
vulkane,die
die,ich
ich,jede
jede,woche
woche,fege
fege,denn
denn,ich
ich,fege
fege,sogar
sogar,jenen
jenen,der
der,schon
schon,erloschenen
erloschenen,ist
ist,man
man,weiß
weiß,ja
ja,nie
nie,meinen
meinen,vulkanen
vulkanen,nutzt
nutzt,es
es,ebenso
ebenso,wie
wie,meiner
meiner,blume
blume,dass
dass,ich
ich,sie
sie,besitze
besitze,aber
aber,für
für,deine
deine,sterne
sterne,bist
bist,du
du,ganz
ganz,unnütz
unnütz,der
der,geschäftsmann
geschäftsmann,öffnete
öffnete,den
den,mund
mund,aber
aber,ihm
ihm,fiel
fiel,keine
keine,antwort
antwort,ein
ein,und
und,der
der,kleine
kleine,prinz
prinz,machte
machte,sich
sich,auf
auf,und
und,davon
davon,die
die,erwachsenen
erwachsenen,sind
sind,doch
doch,wirklich
wirklich,komisch
komisch,sagte
sagte,er
er,sich
sich,auf
auf,seiner
seiner,reise
reise,der
der,fünfte
fünfte,planet
planet,war
war,äußerst
äußerst,merkwürdig
merkwürdig,es
es,war
war,der
der,kleinste
kleinste,von
von,allen
allen,es
es,gab
gab,gerade
gerade,genug
genug,platz
platz,für
für,eine
eine,straßenlaterne
straßenlaterne,und
und,einen
einen,laternenanzünder
laternenanzünder,der
der,kleine
kleine,prinz
prinz,konnte
konnte,sich
sich,nicht
nicht,erklären
erklären,wozu
wozu,man
man,irgendwo
irgendwo,im
im,himmel
himmel,auf
auf,einem
einem,planeten
planeten,ohne
ohne,häuser
häuser,und
und,menschen
menschen,eine
eine,straßenlaterne
straßenlaterne,und
und,einen
einen,laternenanzünder
laternenanzünder,gebrauchen
gebrauchen,könnte
könnte,dennoch
dennoch,sagte
sagte,er
er,sich
sich,gut
gut,möglich
möglich,dass
dass,dieser
dieser,mann
mann,merkwürdig
merkwürdig,ist
ist,dennoch
dennoch,ist
ist,er
er,nicht
nicht,so
so,merkwürdig
merkwürdig,wie
wie,der
der,könig
könig,der
der,eitle
eitle,der
der,geschäftsmann
geschäftsmann,oder
oder,der
der,säufer
säufer,seine
seine,arbeit
arbeit,hat
hat,zumindest
zumindest,einen
einen,sinn
sinn,wenn
wenn,er
er,seine
seine,laterne
laterne,anzündet
anzündet,dann
dann,ist
ist,es
es,so
so,als
als,würde
würde,er
er,einen
einen,neuen
neuen,stern
stern,erschaffen
erschaffen,oder
oder,eine
eine,blume
blume,wenn
wenn,er
er,seine
seine,laterne
laterne,löscht
löscht,schläft
schläft,ein
ein,stern
stern,ein
ein,oder
oder,eine
eine,blume
blume,das
das,ist
ist,eine
eine,sehr
sehr,schöne
schöne,beschäftigung
beschäftigung,es
es,ist
ist,wirklich
wirklich,nützlich
nützlich,weil
weil,es
es,schön
schön,ist
ist,als
als,er
er,auf
auf,dem
dem,planeten
planeten,landete
landete,grüßte
grüßte,er
er,den
den,laternenanzünder
laternenanzünder,respektvoll
respektvoll,guten
guten,tag
tag,warum
warum,hast
hast,du
du,denn
denn,gerade
gerade,deine
deine,laterne
laterne,gelöscht
gelöscht,so
so,lautet
lautet,die
die,vorschrift
vorschrift,sagte
sagte,der
der,laternenanzünder
laternenanzünder,guten
guten,tag
tag,was
was,ist
ist,die
die,vorschrift
vorschrift,die
die,laterne
laterne,zu
zu,löschen
löschen,guten
guten,abend
abend,und
und,er
er,zündete
zündete,sie
sie,wieder
wieder,an
an,warum
warum,hast
hast,du
du,sie
sie,nun
nun,wieder
wieder,angezündet
angezündet,das
das,ist
ist,die
die,vorschrift
vorschrift,antwortete
antwortete,der
der,laternenanzünder
laternenanzünder,ich
ich,verstehe
verstehe,es
es,nicht
nicht,sagte
sagte,der
der,kleine
kleine,prinz
prinz,da
da,gibt
gibt,es
es,nichts
nichts,zu
zu,verstehen
verstehen,sagte
sagte,der
der,laternenanzünder
laternenanzünder,vorschrift
vorschrift,ist
ist,vorschrift
vorschrift,guten
guten,tag
tag,und
und,er
er,machte
machte,die
die,laterne
laterne,aus
aus,dann
dann,wischte
wischte,er
er,sich
sich,mit
mit,einem
einem,rotkarierten
rotkarierten,taschentuch
taschentuch,die
die,stirn
stirn,ab
ab,ich
ich,habe
habe,einen
einen,schrecklichen
schrecklichen,beruf
beruf,früher
früher,war
war,das
das,vernünftig
vernünftig,am
am,morgen
morgen,löschte
löschte,ich
ich,sie
sie,aus
aus,und
und,am
am,abend
abend,zündete
zündete,ich
ich,sie
sie,wieder
wieder,an
an,der
der,rest
rest,des
des,tages
tages,blieb
blieb,mir
mir,zum
zum,erholen
erholen,und
und,die
die,nacht
nacht,zum
zum,schlafen
schlafen,und
und,seitdem
seitdem,wurde
wurde,die
die,vorschrift
vorschrift,geändert
geändert,die
die,vorschrift
vorschrift,hat
hat,sich
sich,nicht
nicht,geändert
geändert,sagte
sagte,der
der,laternenanzünder
laternenanzünder,das
das,ist
ist,ja
ja,das
das,drama
drama,der
der,planet
planet,hat
hat,sich
sich,von
von,jahr
jahr,zu
zu,jahr
jahr,schneller
schneller,gedreht
gedreht,aber
aber,die
die,vorschrift
vorschrift,wurde
wurde,nicht
nicht,geändert
geändert,ja
ja,und
und,sagte
sagte,der
der,kleine
kleine,prinz
prinz,jetzt
jetzt,dreht
dreht,er
er,sich
sich,ein
ein,mal
mal,pro
pro,minute
minute,mir
mir,bleibt
bleibt,keine
keine,sekunde
sekunde,pause
pause,pro
pro,minute
minute,zünde
zünde,ich
ich,einmal
einmal,an
an,und
und,lösche
lösche,einmal
einmal,aus
aus,das
das,ist
ist,lustig
lustig,bei
bei,dir
dir,dauern
dauern,die
die,tage
tage,nur
nur,eine
eine,minute
minute,das
das,ist
ist,überhaupt
überhaupt,nicht
nicht,lustig
lustig,sagte
sagte,der
der,laternenanzünder
laternenanzünder,jetzt
jetzt,reden
reden,wir
wir,schon
schon,einen
einen,monat
monat,lang
lang,miteinander
miteinander,einen
einen,monat
monat,ja
ja,dreißig
dreißig,minuten
minuten,dreißig
dreißig,tage
tage,guten
guten,abend
abend,und
und,er
er,zündete
zündete,seine
seine,laterne
laterne,wieder
wieder,an
an,der
der,kleine
kleine,prinz
prinz,schaute
schaute,ihn
ihn,an
an,und
und,er
er,liebte
liebte,diesen
diesen,anzünder
anzünder,der
der,sich
sich,so
so,streng
streng,an
an,die
die,vorschrift
vorschrift,hielt
hielt,er
er,erinnerte
erinnerte,sich
sich,an
an,die
die,sonnenuntergänge
sonnenuntergänge,und
und,wie
wie,er
er,auf
auf,deren
deren,suche
suche,früher
früher,seinen
seinen,stuhl
stuhl,rückte
rückte,er
er,wollte
wollte,seinem
seinem,freund
freund,helfen
helfen,weißt
weißt,du
du,ich
ich,weiß
weiß,einen
einen,weg
weg,wie
wie,du
du,dich
dich,ausruhen
ausruhen,kannst
kannst,wann
wann,immer
immer,du
du,möchtest
möchtest,immer
immer,her
her,damit
damit,sagte
sagte,der
der,laternenanzünder
laternenanzünder,man
man,kann
kann,gleichzeitig
gleichzeitig,pflichtbewusst
pflichtbewusst,und
und,faul
faul,sein
sein,der
der,kleine
kleine,prinz
prinz,fuhr
fuhr,fort
fort,dein
dein,planet
planet,ist
ist,derart
derart,klein
klein,dass
dass,du
du,ihn
ihn,mit
mit,drei
drei,hüpfern
hüpfern,umrundet
umrundet,hast
hast,du
du,musst
musst,nur
nur,sehr
sehr,langsam
langsam,laufen
laufen,um
um,immer
immer,in
in,der
der,sonne
sonne,zu
zu,bleiben
bleiben,wenn
wenn,du
du,dich
dich,ausruhen
ausruhen,willst
willst,läufst
läufst,du
du,und
und,der
der,tag
tag,dauert
dauert,so
so,lange
lange,wie
wie,du
du,magst
magst,das
das,bringt
bringt,mich
mich,nicht
nicht,sonderlich
sonderlich,weiter
weiter,sagte
sagte,der
der,anzünder
anzünder,was
was,ich
ich,im
im,leben
leben,liebe
liebe,ist
ist,das
das,schlafen
schlafen,dann
dann,bringt
bringt,es
es,nichts
nichts,dann
dann,bringt
bringt,es
es,wohl
wohl,nichts
nichts,sagte
sagte,der
der,anzünder
anzünder,guten
guten,tag
tag,und
und,er
er,löschte
löschte,seine
seine,laterne
laterne,dieser
dieser,kerl
kerl,sagte
sagte,sich
sich,der
der,kleine
kleine,prinz
prinz,während
während,er
er,seine
seine,reise
reise,fortsetzte
fortsetzte,dieser
dieser,kerl
kerl,würde
würde,von
von,allen
allen,anderen
anderen,verachtet
verachtet,werden
werden,vom
vom,könig
könig,vom
vom,eitlen
eitlen,vom
vom,säufer
säufer,und
und,vom
vom,geschäftsmann
geschäftsmann,dennoch
dennoch,ist
ist,er
er,der
der,einzige
einzige,der
der,mir
mir,nicht
nicht,lächerlich
lächerlich,vorkommt
vorkommt,vielleicht
vielleicht,weil
weil,er
er,sich
sich,nicht
nicht,nur
nur,mit
mit,sich
sich,selbst
selbst,beschäftigt
beschäftigt,er
er,seufzte
seufzte,vor
vor,bedauern
bedauern,und
und,sagte
sagte,sich
sich,noch
noch,dieser
dieser,kerl
kerl,ist
ist,der
der,einzige
einzige,mit
mit,dem
dem,ich
ich,mich
mich,angefreundet
angefreundet,hätte
hätte,aber
aber,sein
sein,planet
planet,ist
ist,wirklich
wirklich,zu
zu,klein
klein,es
es,gibt
gibt,keinen
keinen,platz
platz,für
für,zwei
zwei,was
was,sich
sich,der
der,kleine
kleine,prinz
prinz,nicht
nicht,einzugestehen
einzugestehen,wagte
wagte,war
war,dass
dass,er
er,diesem
diesem,planeten
planeten,vor
vor,allem
allem,wegen
wegen,der
der,tausendvierhundertvierzig
tausendvierhundertvierzig,sonnenuntergänge
sonnenuntergänge,in
in,vierundzwanzig
vierundzwanzig,stunden
stunden,nachtrauerte
nachtrauerte,der
der,sechste
sechste,planet
planet,war
war,um
um,das
das,zehnfache
zehnfache,größer
größer,hier
hier,wohnte
wohnte,ein
ein,alter
alter,herr
herr,der
der,dicke
dicke,bücher
bücher,schrieb
schrieb,sieh
sieh,da
da,ein
ein,forscher
forscher,freute
freute,er
er,sich
sich,als
als,er
er,den
den,kleinen
kleinen,prinzen
prinzen,erblickte
erblickte,der
der,kleine
kleine,prinz
prinz,setzte
setzte,sich
sich,an
an,den
den,tisch
tisch,um
um,ein
ein,wenig
wenig,zu
zu,verschnaufen
verschnaufen,er
er,war
war,schon
schon,so
so,viel
viel,herumgereist
herumgereist,wo
wo,kommst
kommst,du
du,her
her,fragte
fragte,ihn
ihn,der
der,alte
alte,herr
herr,was
was,ist
ist,das
das,für
für,ein
ein,dickes
dickes,buch
buch,sagte
sagte,der
der,kleine
kleine,prinz
prinz,was
was,treiben
treiben,sie
sie,hier
hier,ich
ich,bin
bin,geograph
geograph,sagte
sagte,der
der,alte
alte,was
was,ist
ist,ein
ein,geograph
geograph,das
das,ist
ist,ein
ein,wissenschaftler
wissenschaftler,der
der,weiß
weiß,wo
wo,sich
sich,die
die,meere
meere,befinden
befinden,die
die,flüsse
flüsse,die
die,städte
städte,die
die,berge
berge,und
und,die
die,wüsten
wüsten,das
das,ist
ist,sehr
sehr,interessant
interessant,sagte
sagte,der
der,kleine
kleine,prinz
prinz,das
das,ist
ist,endlich
endlich,mal
mal,ein
ein,richtiger
richtiger,beruf
beruf,er
er,schaute
schaute,sich
sich,den
den,planeten
planeten,des
des,geographen
geographen,an
an,er
er,hatte
hatte,noch
noch,niemals
niemals,einen
einen,so
so,herrschaftlichen
herrschaftlichen,planeten
planeten,gesehen
gesehen,er
er,ist
ist,so
so,wunderschön
wunderschön,euer
euer,planet
planet,gibt
gibt,es
es,meere
meere,das
das,kann
kann,ich
ich,nicht
nicht,wissen
wissen,sagte
sagte,der
der,geograph
geograph,ah
ah,der
der,kleine
kleine,prinz
prinz,war
war,schon
schon,enttäuscht
enttäuscht,und
und,berge
berge,das
das,kann
kann,ich
ich,nicht
nicht,wissen
wissen,sagte
sagte,der
der,geograph
geograph,und
und,städte
städte,und
und,flüsse
flüsse,und
und,wüsten
wüsten,auch
auch,das
das,kann
kann,ich
ich,nicht
nicht,wissen
wissen,sagte
sagte,der
der,geograph
geograph,aber
aber,sie
sie,sind
sind,doch
doch,geograph
geograph,das
das,stimmt
stimmt,wohl
wohl,sagte
sagte,der
der,geograph
geograph,aber
aber,ich
ich,bin
bin,kein
kein,forscher
forscher,mir
mir,fehlt
fehlt,es
es,an
an,forschergeist
forschergeist,nicht
nicht,der
der,geograph
geograph,wird
wird,die
die,städte
städte,flüsse
flüsse,berge
berge,meere
meere,ozeane
ozeane,und
und,wüsten
wüsten,zählen
zählen,der
der,geograph
geograph,ist
ist,zu
zu,bedeutend
bedeutend,um
um,sich
sich,herumzutreiben
herumzutreiben,er
er,verlässt
verlässt,seinen
seinen,schreibtisch
schreibtisch,nicht
nicht,aber
aber,er
er,empfängt
empfängt,die
die,forscher
forscher,er
er,befragt
befragt,sie
sie,er
er,notiert
notiert,ihre
ihre,erinnerungen
erinnerungen,und
und,wenn
wenn,die
die,erinnerungen
erinnerungen,ihm
ihm,interessant
interessant,erscheinen
erscheinen,veranlasst
veranlasst,der
der,geograph
geograph,eine
eine,untersuchung
untersuchung,über
über,die
die,glaubwürdigkeit
glaubwürdigkeit,des
des,forschers
forschers,wozu
wozu,denn
denn,weil
weil,ein
ein,forscher
forscher,der
der,lügen
lügen,verbreitet
verbreitet,an
an,katastrophen
katastrophen,in
in,unseren
unseren,geographiebüchern
geographiebüchern,schuld
schuld,wäre
wäre,und
und,auch
auch,ein
ein,forscher
forscher,der
der,zu
zu,viel
viel,säuft
säuft,wie
wie,das
das,fragte
fragte,der
der,kleine
kleine,prinz
prinz,weil
weil,betrunkene
betrunkene,doppelt
doppelt,sehen
sehen,so
so,würde
würde,der
der,geograph
geograph,zwei
zwei,berge
berge,verzeichnen
verzeichnen,wo
wo,es
es,nur
nur,einen
einen,einzigen
einzigen,gibt
gibt,ich
ich,kenne
kenne,da
da,jemanden
jemanden,sagte
sagte,der
der,kleine
kleine,prinz
prinz,der
der,ein
ein,schlechter
schlechter,forscher
forscher,wäre
wäre,das
das,ist
ist,wohl
wohl,möglich
möglich,wenn
wenn,der
der,forscher
forscher,also
also,glaubwürdig
glaubwürdig,erscheint
erscheint,dann
dann,macht
macht,man
man,eine
eine,untersuchung
untersuchung,über
über,seine
seine,entdeckung
entdeckung,schaut
schaut,man
man,nach
nach,nein
nein,das
das,ist
ist,zu
zu,kompliziert
kompliziert,aber
aber,man
man,verlangt
verlangt,von
von,dem
dem,forscher
forscher,dass
dass,er
er,beweise
beweise,liefert
liefert,handelt
handelt,es
es,sich
sich,beispielsweise
beispielsweise,um
um,die
die,entdeckung
entdeckung,eines
eines,großen
großen,berges
berges,so
so,verlangt
verlangt,man
man,von
von,ihm
ihm,steine
steine,von
von,dort
dort,mitzubringen
mitzubringen,plötzlich
plötzlich,war
war,der
der,geograph
geograph,ganz
ganz,aufgeregt
aufgeregt,aber
aber,du
du,du
du,kommst
kommst,doch
doch,von
von,weit
weit,her
her,du
du,bist
bist,ein
ein,forscher
forscher,du
du,wirst
wirst,mir
mir,deinen
deinen,planeten
planeten,beschreiben
beschreiben,und
und,der
der,geograph
geograph,hatte
hatte,schon
schon,sein
sein,verzeichnis
verzeichnis,aufgeschlagen
aufgeschlagen,und
und,spitze
spitze,seinen
seinen,bleistift
bleistift,zuerst
zuerst,notiert
notiert,man
man,die
die,berichte
berichte,der
der,forscher
forscher,mit
mit,dem
dem,bleistift
bleistift,mit
mit,der
der,tinte
tinte,wartet
wartet,man
man,so
so,lange
lange,bis
bis,der
der,forscher
forscher,die
die,beweise
beweise,geliefert
geliefert,hat
