trigram,freq
"('aber', 'er', 'sagte')",2
"('den', 'erloschenen', 'vulkan')",2
"('er', 'die', 'blume')",2
"('das', 'bedürfnis', 'zu')",2
"('adieu', 'sagte', 'er')",2
"('versuche', 'glücklich', 'zu')",2
"('blume', 'ich', 'bin')",2
"('dass', 'du', 'es')",2
"('es', 'ist', 'nicht')",2
"('wollte', 'nicht', 'dass')",2
"('nicht', 'dass', 'er')",2
"('freute', 'er', 'sich')",2
"('er', 'sich', 'als')",2
"('sich', 'als', 'er')",2
"('kleinen', 'prinzen', 'sah')",2
"('dann', 'befehle', 'ich')",2
"('befehle', 'ich', 'dir')",2
"('ich', 'kann', 'nicht')",2
"('dass', 'sich', 'ein')",2
"('in', 'einen', 'meeresvogel')",2
"('ich', 'befehle', 'dir')",2
"('der', 'könig', 'und')",2
"('der', 'könig', 'denn')",2
"('und', 'die', 'sterne')",2
"('über', 'das', 'alles')",2
"('nicht', 'nur', 'ein')",2
"('frage', 'abließ', 'wenn')",2
"('abließ', 'wenn', 'er')",2
"('wird', 'das', 'sein')",2
"('du', 'wirst', 'sehen')",2
"('nichts', 'mehr', 'zu')",2
"('geh', 'nicht', 'fort')",2
"('der', 'könig', 'der')",2
"('ich', 'mache', 'dich')",2
"('der', 'könig', 'ich')",2
"('ich', 'war', 'noch')",2
"('ich', 'bin', 'sehr')",2
"('so', 'wirst', 'du')",2
"('über', 'dich', 'selbst')",2
"('sprechen', 'sagte', 'der')",2
"('ich', 'habe', 'den')",2
"('nein', 'sagte', 'der')",2
"('mit', 'der', 'einen')",2
"('der', 'eitle', 'der')",2
"('aber', 'du', 'bist')",2
"('es', 'war', 'ein')",2
"('fragte', 'ihn', 'der')",2
"('ihn', 'der', 'kleine')",2
"('um', 'zu', 'vergessen')",2
"('gab', 'der', 'säufer')",2
"('der', 'säufer', 'zu')",2
"('säufer', 'zu', 'und')",2
"('machte', 'sich', 'der')",2
"('auf', 'und', 'davon')",2
"('und', 'davon', 'die')",2
"('davon', 'die', 'erwachsenen')",2
"('fünfhundert', 'millionen', 'wovon')",2
"('auf', 'diesem', 'planeten')",2
"('er', 'machte', 'einen')",2
"('ich', 'habe', 'keine')",2
"('habe', 'keine', 'zeit')",2
"('der', 'sache', 'ich')",2
"('und', 'was', 'bringt')",2
"('was', 'bringt', 'es')",2
"('bringt', 'es', 'dir')",2
"('kleine', 'prinz', 'er')",2
"('wenn', 'du', 'einen')",2
"('niemandem', 'gehört', 'so')",2
"('gehört', 'so', 'gehört')",2
"('dir', 'wenn', 'du')",2
"('wenn', 'du', 'eine')",2
"('das', 'stimmt', 'wohl')",2
"('stimmt', 'wohl', 'sagte')",2
"('wohl', 'sagte', 'der')",2
"('ich', 'sie', 'wieder')",2
"('um', 'den', 'hals')",2
"('das', 'ist', 'alles')",2
"('kleine', 'prinz', 'es')",2
"('eine', 'blume', 'die')",2
"('eine', 'straßenlaterne', 'und')",2
"('straßenlaterne', 'und', 'einen')",2
"('und', 'einen', 'laternenanzünder')",2
"('dennoch', 'ist', 'er')",2
"('wenn', 'er', 'seine')",2
"('er', 'seine', 'laterne')",2
"('oder', 'eine', 'blume')",2
"('blume', 'das', 'ist')",2
"('warum', 'hast', 'du')",2
"('ist', 'die', 'vorschrift')",2
"('guten', 'abend', 'und')",2
"('abend', 'und', 'er')",2
"('und', 'er', 'zündete')",2
"('sie', 'wieder', 'an')",2
"('das', 'ist', 'die')",2
"('guten', 'tag', 'und')",2
"('tag', 'und', 'er')",2
"('wieder', 'an', 'der')",2
"('du', 'dich', 'ausruhen')",2
"('sagte', 'der', 'anzünder')",2
"('dann', 'bringt', 'es')",2
"('nichts', 'sagte', 'der')",2
"('von', 'allen', 'anderen')",2
"('was', 'ist', 'das')",2
"('ist', 'das', 'für')",2
"('was', 'ist', 'ein')",2
"('der', 'geograph', 'aber')",2
"('der', 'geograph', 'eine')",2
"('eine', 'untersuchung', 'über')",2
"('ein', 'forscher', 'der')",2
"('nein', 'das', 'ist')",2
"('das', 'ist', 'zu')",2
"('du', 'bist', 'ein')",2
"('kleine', 'prinz', 'ist')",2
"('das', 'ist', 'doch')",2
"('was', 'heißt', 'vergänglich')",2
"('prinz', 'was', 'bedeutet')",2
"('von', 'baldigem', 'verschwinden')",2
"('baldigem', 'verschwinden', 'bedroht')",2
"('meine', 'blume', 'ist')",2
"('sie', 'hat', 'nur')",2
"('hat', 'nur', 'vier')",2
"('dornen', 'um', 'sich')",2
"('um', 'sich', 'gegen')",2
"('sich', 'gegen', 'die')",2
"('gegen', 'die', 'welt')",2
"('die', 'welt', 'zu')",2
"('die', 'erde', 'ist')",2
"('waren', 'die', 'anzünder')",2
"('die', 'anzünder', 'in')",2
"('an', 'der', 'reihe')",2
"('dann', 'die', 'in')",2
"('der', 'einzigen', 'laterne')",2
"('einzigen', 'laterne', 'am')",2
"('dass', 'man', 'ein')",2
"('antwortete', 'die', 'schlange')",2
"('mich', 'sagte', 'er')",2
"('machst', 'du', 'hier')",2
"('die', 'schlange', 'und')",2
"('schlange', 'und', 'sie')",2
"('und', 'sie', 'schwiegen')",2
"('wo', 'sind', 'die')",2
"('sind', 'die', 'menschen')",2
"('prinz', 'schaute', 'sie')",2
"('du', 'hast', 'nicht')",2
"('kleine', 'prinz', 'aber')",2
"('kleine', 'prinz', 'höflich')",2
"('adieu', 'sagte', 'der')",2
"('und', 'alle', 'menschen')",2
"('aber', 'er', 'sah')",2
"('tag', 'sagte', 'er')",2
"('guten', 'tag', 'guten')",2
"('tag', 'guten', 'tag')",2
"('guten', 'tag', 'antwortete')",2
"('seid', 'ihr', 'wer')",2
"('ihr', 'wer', 'seid')",2
"('sagte', 'er', 'ich')",2
"('bin', 'allein', 'ich')",2
"('allein', 'ich', 'bin')",2
"('menschen', 'haben', 'keine')",2
"('sagte', 'er', 'es')",2
"('sagten', 'die', 'rosen')",2
"('und', 'ich', 'wäre')",2
"('der', 'fuchs', 'auf')",2
"('du', 'sagte', 'der')",2
"('kleine', 'prinz', 'du')",2
"('der', 'fuchs', 'ich')",2
"('hier', 'sagte', 'der')",2
"('der', 'fuchs', 'es')",2
"('der', 'aussieht', 'wie')",2
"('ich', 'bin', 'für')",2
"('nur', 'ein', 'fuchs')",2
"('wie', 'hunderttausend', 'andere')",2
"('du', 'mich', 'zähmst')",2
"('ganzen', 'welt', 'einmalig')",2
"('welt', 'einmalig', 'sein')",2
"('einmalig', 'sein', 'ich')",2
"('sein', 'ich', 'werde')",2
"('ich', 'werde', 'den')",2
"('ist', 'für', 'mich')",2
"('rein', 'gar', 'nichts')",2
"('wenn', 'du', 'zum')",2
"('um', 'vier', 'uhr')",2
"('als', 'die', 'anderen')",2
"('fuchs', 'aber', 'du')",2
"('einmalig', 'auf', 'der')",2
"('auf', 'der', 'welt')",2
"('gar', 'nichts', 'sagte')",2
"('sagte', 'er', 'ihnen')",2
"('wie', 'mein', 'fuchs')",2
"('an', 'den', 'fuchs')",2
"('mit', 'dem', 'herzen')",2
"('das', 'wesentliche', 'ist')",2
"('wesentliche', 'ist', 'für')",2
"('ist', 'für', 'die')",2
"('für', 'die', 'augen')",2
"('die', 'augen', 'unsichtbar')",2
"('ist', 'die', 'zeit')",2
"('die', 'zeit', 'die')",2
"('für', 'deine', 'rose')",2
"('die', 'sie', 'so')",2
"('sie', 'so', 'bedeutsam')",2
"('so', 'bedeutsam', 'macht')",2
"('für', 'meine', 'rose')",2
"('macht', 'sagte', 'der')",2
"('du', 'wirst', 'immer')",2
"('ich', 'bin', 'verantwortlich')",2
"('bin', 'verantwortlich', 'für')",2
"('und', 'ein', 'erleuchteter')",2
"('ein', 'erleuchteter', 'schnellzug')",2
"('sie', 'haben', 'es')",2
"('der', 'weichensteller', 'und')",2
"('der', 'weichensteller', 'sie')",2
"('nur', 'die', 'kinder')",2
"('wohin', 'sie', 'wollen')",2
"('sagte', 'der', 'händler')",2
"('pro', 'woche', 'und')",2
"('ganz', 'in', 'ruhe')",2
"('in', 'ruhe', 'zu')",2
"('ruhe', 'zu', 'einem')",2
