quadrigram,freq
"('nicht', 'mehr', 'bewegen', 'und')",1
"('mehr', 'bewegen', 'und', 'halten')",1
"('bewegen', 'und', 'halten', 'sechs')",1
"('und', 'halten', 'sechs', 'monate')",1
"('halten', 'sechs', 'monate', 'lang')",1
"('sechs', 'monate', 'lang', 'verdauungsschlaf')",1
"('monate', 'lang', 'verdauungsschlaf', 'so')",1
"('lang', 'verdauungsschlaf', 'so', 'habe')",1
"('verdauungsschlaf', 'so', 'habe', 'ich')",1
"('so', 'habe', 'ich', 'viel')",1
"('habe', 'ich', 'viel', 'über')",1
"('ich', 'viel', 'über', 'dschungelabenteuer')",1
"('viel', 'über', 'dschungelabenteuer', 'nachgedacht')",1
"('über', 'dschungelabenteuer', 'nachgedacht', 'und')",1
"('dschungelabenteuer', 'nachgedacht', 'und', 'dann')",1
"('nachgedacht', 'und', 'dann', 'gelang')",1
"('und', 'dann', 'gelang', 'mir')",1
"('dann', 'gelang', 'mir', 'mit')",1
"('gelang', 'mir', 'mit', 'einem')",1
"('mir', 'mit', 'einem', 'farbstift')",1
"('mit', 'einem', 'farbstift', 'meine')",1
"('einem', 'farbstift', 'meine', 'zeichnung')",1
"('farbstift', 'meine', 'zeichnung', 'nr')",1
"('meine', 'zeichnung', 'nr', 'sie')",1
"('zeichnung', 'nr', 'sie', 'sah')",1
"('nr', 'sie', 'sah', 'so')",1
"('sie', 'sah', 'so', 'aus')",1
"('sah', 'so', 'aus', 'ich')",1
"('so', 'aus', 'ich', 'zeigte')",1
"('aus', 'ich', 'zeigte', 'mein')",1
"('ich', 'zeigte', 'mein', 'meisterwerk')",1
"('zeigte', 'mein', 'meisterwerk', 'den')",1
"('mein', 'meisterwerk', 'den', 'erwachsenen')",1
"('meisterwerk', 'den', 'erwachsenen', 'und')",1
"('den', 'erwachsenen', 'und', 'habe')",1
"('erwachsenen', 'und', 'habe', 'sie')",1
"('und', 'habe', 'sie', 'gefragt')",1
"('habe', 'sie', 'gefragt', 'ob')",1
"('sie', 'gefragt', 'ob', 'sie')",1
"('gefragt', 'ob', 'sie', 'vor')",1
"('ob', 'sie', 'vor', 'meiner')",1
"('sie', 'vor', 'meiner', 'zeichnung')",1
"('vor', 'meiner', 'zeichnung', 'angst')",1
"('meiner', 'zeichnung', 'angst', 'hätten')",1
"('zeichnung', 'angst', 'hätten', 'sie')",1
"('angst', 'hätten', 'sie', 'haben')",1
"('hätten', 'sie', 'haben', 'mir')",1
"('sie', 'haben', 'mir', 'geantwortet')",1
"('haben', 'mir', 'geantwortet', 'warum')",1
"('mir', 'geantwortet', 'warum', 'sollte')",1
"('geantwortet', 'warum', 'sollte', 'man')",1
"('warum', 'sollte', 'man', 'vor')",1
"('sollte', 'man', 'vor', 'einem')",1
"('man', 'vor', 'einem', 'hut')",1
"('vor', 'einem', 'hut', 'angst')",1
"('einem', 'hut', 'angst', 'haben')",1
"('hut', 'angst', 'haben', 'dabei')",1
"('angst', 'haben', 'dabei', 'war')",1
"('haben', 'dabei', 'war', 'auf')",1
"('dabei', 'war', 'auf', 'meinem')",1
"('war', 'auf', 'meinem', 'bild')",1
"('auf', 'meinem', 'bild', 'gar')",1
"('meinem', 'bild', 'gar', 'kein')",1
"('bild', 'gar', 'kein', 'hut')",1
"('gar', 'kein', 'hut', 'es')",1
"('kein', 'hut', 'es', 'zeigte')",1
"('hut', 'es', 'zeigte', 'eine')",1
"('eine', 'riesenschlange', 'die', 'einen')",1
"('riesenschlange', 'die', 'einen', 'elefanten')",1
"('die', 'einen', 'elefanten', 'verdaut')",1
"('einen', 'elefanten', 'verdaut', 'so')",1
"('elefanten', 'verdaut', 'so', 'habe')",1
"('verdaut', 'so', 'habe', 'ich')",1
"('habe', 'ich', 'also', 'das')",1
"('ich', 'also', 'das', 'innere')",1
"('also', 'das', 'innere', 'der')",1
"('das', 'innere', 'der', 'schlage')",1
"('innere', 'der', 'schlage', 'gezeichnet')",1
"('der', 'schlage', 'gezeichnet', 'um')",1
"('schlage', 'gezeichnet', 'um', 'es')",1
"('gezeichnet', 'um', 'es', 'den')",1
"('um', 'es', 'den', 'großen')",1
"('es', 'den', 'großen', 'verständlich')",1
"('den', 'großen', 'verständlich', 'zu')",1
"('großen', 'verständlich', 'zu', 'machen')",1
"('verständlich', 'zu', 'machen', 'immer')",1
"('zu', 'machen', 'immer', 'muss')",1
"('machen', 'immer', 'muss', 'man')",1
"('immer', 'muss', 'man', 'ihnen')",1
"('muss', 'man', 'ihnen', 'alles')",1
"('man', 'ihnen', 'alles', 'erklären')",1
"('ihnen', 'alles', 'erklären', 'meine')",1
"('alles', 'erklären', 'meine', 'zeichnung')",1
"('erklären', 'meine', 'zeichnung', 'nr')",1
"('meine', 'zeichnung', 'nr', 'sah')",1
"('zeichnung', 'nr', 'sah', 'so')",1
"('nr', 'sah', 'so', 'aus')",1
"('sah', 'so', 'aus', 'die')",1
"('so', 'aus', 'die', 'erwachsenen')",1
"('aus', 'die', 'erwachsenen', 'haben')",1
"('die', 'erwachsenen', 'haben', 'mir')",1
"('erwachsenen', 'haben', 'mir', 'geraten')",1
"('haben', 'mir', 'geraten', 'mich')",1
"('mir', 'geraten', 'mich', 'nicht')",1
"('geraten', 'mich', 'nicht', 'mehr')",1
"('mich', 'nicht', 'mehr', 'mit')",1
"('nicht', 'mehr', 'mit', 'offenen')",1
"('mehr', 'mit', 'offenen', 'oder')",1
"('mit', 'offenen', 'oder', 'geschlossenen')",1
"('offenen', 'oder', 'geschlossenen', 'riesenschlangen')",1
"('oder', 'geschlossenen', 'riesenschlangen', 'zu')",1
"('geschlossenen', 'riesenschlangen', 'zu', 'beschäftigen')",1
"('riesenschlangen', 'zu', 'beschäftigen', 'sondern')",1
"('zu', 'beschäftigen', 'sondern', 'mich')",1
"('beschäftigen', 'sondern', 'mich', 'stattdessen')",1
"('sondern', 'mich', 'stattdessen', 'mehr')",1
"('mich', 'stattdessen', 'mehr', 'für')",1
"('stattdessen', 'mehr', 'für', 'geografie')",1
"('mehr', 'für', 'geografie', 'geschichte')",1
"('für', 'geografie', 'geschichte', 'mathe')",1
