word,freq
wissenschaftler,1
meere,3
befinden,2
flüsse,3
städte,3
berge,5
wüsten,3
interessant,4
geographen,2
herrschaftlichen,1
euer,1
enttäuscht,1
forschergeist,1
ozeane,1
zählen,1
bedeutend,1
herumzutreiben,1
verlässt,1
schreibtisch,1
empfängt,1
befragt,1
notiert,2
veranlasst,1
untersuchung,2
glaubwürdigkeit,1
forschers,1
lügen,1
verbreitet,1
katastrophen,1
unseren,1
geographiebüchern,1
säuft,1
betrunkene,1
doppelt,1
verzeichnen,1
schlechter,1
glaubwürdig,1
erscheint,1
schaut,3
verlangt,2
beweise,2
liefert,1
beispielsweise,1
berges,1
steine,2
mitzubringen,1
aufgeregt,2
verzeichnis,1
aufgeschlagen,1
spitze,1
bleistift,2
zuerst,3
berichte,1
tinte,1
wartet,2
geliefert,1
aktiv,1
erloschen,3
schreiben,2
wieso,1
vergänglich,2
heißt,5
vergänglichʻ,3
geographiebücher,1
büchern,1
wertvollsten,1
überholt,1
selten,2
berg,4
ändert,1
leert,1
ewige,1
erloschene,1
ausbrechen,2
läuft,1
gleiche,3
hinaus,1
zählt,3
verändert,2
baldigem,2
bedrohtʻist,1
bedroht,1
gegen,2
verteidigen,1
zurückgelassen,1
spürte,1
empfehlen,1
ruf,1
siebente,1
irgendein,1
hundertelf,1
farbigen,1
mitzuzählen,1
siebentausend,1
neunhunderttausend,1
geschäftsmänner,1
siebeneinhalb,1
dreihundertelf,1
ungefähr,1
milliarden,2
ausmaßen,1
erfindung,1
elektrizität,1
kontinenten,1
armee,2
vierhundertzweiundsechzigtausendfünfhundertelf,1
laternenanzündern,2
ferne,1
umwerfend,1
bewegungen,1
einstudiert,1
balletttruppe,1
oper,1
neuseeland,1
australien,1
reihe,2
gingen,1
laternen,1
tanz,1
sibirien,1
verschwanden,1
kulissen,1
russland,1
indien,1
afrika,2
europa,1
südamerika,1
nordamerika,1
verwechselten,1
reihenfolge,1
ihres,1
auftritts,1
großartig,1
nordpol,1
kollege,1
südpol,1
führten,1
untätiges,1
gemächliches,1
arbeiteten,1
zweimal,1
klug,1
wirken,1
schwindelt,1
ehrlich,1
falsches,1
unserem,1
entstehen,1
nehmen,3
einwohner,1
versammlung,1
eng,1
nebeneinander,1
würden,2
genügte,1
öffentlicher,1
zwanzig,3
länge,1
breite,1
gesamte,1
menschheit,1
kleinsten,1
pazifischen,1
unterkriegen,1
abnehmen,1
nähmen,1
imposant,1
solltet,1
raten,1
berechnen,1
verliert,1
vertraut,3
angekommen,1
geirrt,1
mondfarbener,1
kringel,1
bewegte,1
schlange,12
gelandet,2
setze,1
stein,1
erleuchtet,1
wiederfinden,1
schwierigkeiten,1
schwiegen,2
einsam,2
lustiges,1
dünn,1
finger,2
mächtiger,1
stark,1
füße,1
herumkommen,1
fortbringen,1
schiff,1
rollte,1
knöchel,2
goldarmband,1
denjenigen,1
berühre,1
übergebe,1
stammt,1
rein,3
mitleid,1
granit,1
sehnsucht,1
rätseln,1
löse,1
begegnete,1
mickrigen,1
höflich,2
karawane,1
vorbeifahren,1
treibt,1
umher,1
fehlen,1
schaffen,1
bestieg,1
hohen,2
knien,1
reichten,1
benutzte,1
hocker,1
spitzen,1
scharfen,1
felsen,2
echo,2
seid,9
werdet,2
echowas,1
komischer,1
trocken,1
spitz,1
salzig,1
fantasie,1
wiederholen,1
schnee,2
gewandert,1
straße,1
entdeckte,2
straßen,1
führen,1
garten,2
voll,1
blühender,1
sagten,2
glichen,1
verdutzt,2
universum,1
fünftausend,2
aussahen,1
gartensie,1
beleidigt,1
schrecklich,1
vorgeben,1
sterben,5
pflegte,1
gäbe,2
verletzen,1
einzigartigen,1
gewöhnliche,1
knie,1
reichen,1
weinte,2
fuchs,35
drehte,1
apfelbaum,1
hübsch,1
spiel,1
spielen,2
gezähmt,5
verzeihung,1
überlegte,1
zähmenʻ,3
suchst,2
gewehre,1
jagen,3
ungeheuer,1
lästig,1
züchten,2
hühner,5
vergessene,1
machenʻ,1
junge,3
aussieht,2
brauchst,2
füchse,1
zähmst,3
brauchen,1
einander,1
einmalig,4
fange,1
begreifen,2
möglichen,1
jäger,2
perfekt,1
eintönig,1
jage,1
langweile,1
heiterkeit,1
erfüllt,1
klang,1
deines,1
schrittes,1
unterscheidet,1
schritt,4
bau,1
locken,1
musik,3
weizenfelder,2
esse,1
brot,1
weizen,2
erinnern,6
haare,2
wundervoll,1
rauschen,1
windes,1
getreide,1
schwieg,7
zähme,3
gern,1
kennt,1
zähmt,1
kennenzulernen,1
fertigen,1
laden,1
läden,1
geduld,1
setzt,2
augenwinkel,1
sprache,1
sorgt,2
missverständnisse,1
rücken,1
kehrte,1
wärest,1
zurückgekommen,2
nachmittags,1
beginnen,1
umso,2
glücklicher,1
fühlen,1
